2024-04-25 06:07:10,641 INFO    MainThread:484 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Configure stats pid to 484
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Loading settings from /content/murata_labo_exp/murata_labo_exp_src/exp10/outputs/2024-04-25/06-07-09/wandb/settings
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'exp10/main.py', 'program_abspath': '/content/murata_labo_exp/murata_labo_exp_src/exp10/main.py', 'program': '/content/murata_labo_exp/murata_labo_exp_src/exp10/main.py'}
2024-04-25 06:07:10,642 INFO    MainThread:484 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:_log_setup():521] Logging user logs to /content/murata_labo_exp/murata_labo_exp_src/exp10/outputs/2024-04-25/06-07-09/wandb/run-20240425_060710-y206b1mu/logs/debug.log
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:_log_setup():522] Logging internal logs to /content/murata_labo_exp/murata_labo_exp_src/exp10/outputs/2024-04-25/06-07-09/wandb/run-20240425_060710-y206b1mu/logs/debug-internal.log
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:init():561] calling init triggers
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:init():611] starting backend
2024-04-25 06:07:10,643 INFO    MainThread:484 [wandb_init.py:init():615] setting up manager
2024-04-25 06:07:10,645 INFO    MainThread:484 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-25 06:07:10,646 INFO    MainThread:484 [wandb_init.py:init():623] backend started and connected
2024-04-25 06:07:10,649 INFO    MainThread:484 [wandb_init.py:init():715] updated telemetry
2024-04-25 06:07:10,685 INFO    MainThread:484 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-25 06:07:11,194 INFO    MainThread:484 [wandb_run.py:_on_init():2357] communicating current version
2024-04-25 06:07:11,251 INFO    MainThread:484 [wandb_run.py:_on_init():2366] got version response 
2024-04-25 06:07:11,252 INFO    MainThread:484 [wandb_init.py:init():799] starting run threads in backend
2024-04-25 06:07:11,668 INFO    MainThread:484 [wandb_run.py:_console_start():2335] atexit reg
2024-04-25 06:07:11,668 INFO    MainThread:484 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-25 06:07:11,669 INFO    MainThread:484 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-25 06:07:11,669 INFO    MainThread:484 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-25 06:07:11,669 INFO    MainThread:484 [wandb_init.py:init():842] run started, returning control to user process
2024-04-25 06:07:19,614 WARNING MsgRouterThr:484 [router.py:message_loop():77] message_loop has been closed
